regionName,countryCode,nameType,parentCode,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Morocco,504,Country/Area,912,45.67,47.45,49.52,51.64,53.53,55.75,59.58,63.2,65.98,67.65,69.97,73.41,75.03,76.33,77.43,78.45,79.41,80.33,81.2,82.04,82.83,83.57,84.24,84.86,85.44,85.98,86.51,87.06,87.59,88.13
Sudan,729,Country/Area,912,44.54,47.08,49.22,51.24,53.06,54,54.46,55.14,56,57.58,59.46,61.62,63.76,64.95,66.09,67.16,68.14,69.04,69.89,70.67,71.42,72.12,72.8,73.48,74.15,74.82,75.5,76.19,76.87,77.57
Tunisia,788,Country/Area,912,38.81,40.73,43.74,48.33,54.08,59.37,64.26,67.13,70.32,72.43,73.72,74.63,75.45,76.41,77.36,78.27,79.13,79.95,80.76,81.54,82.31,83.04,83.72,84.35,84.94,85.47,85.98,86.48,86.99,87.51
Western Sahara,732,Country/Area,912,35.52,37.43,39.31,41.24,43.26,47.56,51.88,56.18,58.72,61.28,63.91,66.2,68.41,69.86,71.08,72.14,73.09,73.97,74.83,75.65,76.44,77.22,77.98,78.75,79.5,80.25,80.99,81.72,82.43,83.11
Western Asia,922,Subregion,1833,42.99,46.2,49.53,53.15,56.56,59.93,62.36,65.29,67.26,69.12,70.93,72.3,73.41,74.57,75.66,76.5,77.28,77.95,78.59,79.19,79.75,80.28,80.79,81.28,81.78,82.29,82.8,83.31,83.82,84.32
Armenia,51,Country/Area,922,62.81,64.92,67.03,69.18,70.76,70.6,70.92,68.39,68.06,70.2,72.37,72.74,73.99,74.87,75.55,76.24,76.92,77.59,78.26,78.91,79.57,80.24,80.91,81.57,82.22,82.86,83.47,84.06,84.62,85.17
Azerbaijan,31,Country/Area,922,58.42,60.4,61.53,62.63,63.54,63.94,64.43,65.24,64.55,66.25,67.44,70.1,71.57,72.81,73.33,73.87,74.42,75.01,75.6,76.19,76.79,77.4,78.03,78.67,79.32,79.98,80.67,81.37,82.06,82.74
Bahrain,48,Country/Area,922,42.99,48.48,55.3,61.09,65.37,68.36,70.48,71.83,72.89,73.92,74.92,75.69,76.41,77.1,77.73,78.36,78.98,79.61,80.25,80.9,81.54,82.16,82.77,83.36,83.94,84.48,84.99,85.47,85.92,86.4
Cyprus,196,Country/Area,922,66.73,68.74,70.42,71.91,73.18,74.28,75.26,76.15,76.94,77.67,78.34,78.96,79.93,80.75,81.51,82.28,83.04,83.77,84.42,85.03,85.6,86.15,86.69,87.22,87.75,88.27,88.8,89.33,89.87,90.41
Georgia,268,Country/Area,922,60.65,62.65,64.65,66.66,68.16,69.64,69.65,70.46,70.11,69.51,70.44,70.75,72.31,73.52,74.24,74.96,75.68,76.38,77.08,77.79,78.52,79.23,79.96,80.69,81.4,82.08,82.74,83.36,83.95,84.51
Iraq,368,Country/Area,922,37.94,44.92,50.88,56.35,59.51,61.72,58.54,64.14,67.33,69.02,68.77,68,69.4,70.37,71.08,71.75,72.38,73,73.59,74.18,74.79,75.4,76.01,76.64,77.27,77.92,78.57,79.21,79.87,80.54
Israel,376,Country/Area,922,68.87,70.04,70.97,71.77,72.57,73.52,74.63,75.94,77.2,78.31,79.56,80.94,81.91,82.74,83.49,84.2,84.83,85.43,86,86.57,87.13,87.68,88.23,88.77,89.33,89.88,90.43,90.99,91.54,92.09
Jordan,400,Country/Area,922,46.49,50.65,54.59,58.38,61.85,64.97,67.25,69.15,70.43,71.28,72.18,73,73.81,74.33,75.01,75.68,76.34,76.99,77.65,78.33,79,79.67,80.35,81.02,81.69,82.36,83,83.61,84.2,84.75
Kuwait,414,Country/Area,922,53.56,57.4,61.19,64.45,66.78,68.77,70.49,71.69,72.49,72.97,73.32,73.85,74.86,75.33,75.85,76.39,76.96,77.55,78.14,78.75,79.37,80.01,80.64,81.26,81.88,82.5,83.08,83.65,84.21,84.74
Lebanon,422,Country/Area,922,60.47,62.43,64.01,65.37,66.7,67.59,68.37,69.59,71.1,73.29,75.71,77.78,78.64,78.82,79.27,80.01,81.05,81.82,82.59,83.34,84.05,84.71,85.31,85.87,86.41,86.94,87.48,88.01,88.54,89.07
Oman,512,Country/Area,922,36.05,40.53,44.71,48.55,52.26,57.38,61.93,65.64,68.51,70.93,73.23,75.06,76.22,77.53,78.58,79.58,80.55,81.46,82.34,83.17,83.92,84.62,85.26,85.85,86.41,86.97,87.51,88.05,88.61,89.19
Qatar,634,Country/Area,922,55.26,59.2,62.95,66.64,69.47,71.85,73.75,75.2,76.34,77.12,77.83,78.69,79.48,80.02,80.73,81.47,82.25,83.03,83.73,84.38,85,85.57,86.09,86.62,87.14,87.68,88.22,88.76,89.3,89.86
Saudi Arabia,682,Country/Area,922,41.94,44.42,46.99,50.24,55.46,60.66,64.74,67.84,70.11,71.9,73.01,73.46,74.38,74.9,75.69,76.4,77.1,77.82,78.57,79.32,80.07,80.81,81.49,82.16,82.82,83.45,84.04,84.61,85.15,85.64
State of Palestine,275,Country/Area,922,46.6,48.23,50.76,54.09,57.44,60.66,64.21,66.95,68.95,70.43,71.53,72.45,73.09,73.82,74.62,75.41,76.16,76.89,77.6,78.31,79.02,79.72,80.41,81.11,81.8,82.48,83.12,83.75,84.35,84.89
Syrian Arab Republic,760,Country/Area,922,47.6,50.52,53.49,56.85,60.79,64.22,67.18,69.63,71.28,72.54,73.58,74.45,69.87,71.32,76.06,77.82,78.61,79.35,80.08,80.72,81.32,81.93,82.5,83.05,83.6,84.13,84.65,85.18,85.69,86.21
Turkey,792,Country/Area,922,41.01,43.67,47.21,50.78,53.75,57.05,60.22,63.04,65.49,68.49,71.37,73.37,75.59,77.31,78.45,79.55,80.59,81.57,82.5,83.35,84.11,84.8,85.45,86.07,86.65,87.22,87.79,88.35,88.92,89.46
United Arab Emirates,784,Country/Area,922,43.86,48.94,54.08,58.86,63.36,66.82,69.35,71.19,72.58,73.76,74.86,75.86,76.79,77.75,78.46,79.17,79.86,80.57,81.27,81.94,82.61,83.25,83.88,84.47,85.04,85.57,86.08,86.6,87.11,87.61
Yemen,887,Country/Area,922,29.23,29.7,30.66,34.36,39.61,45.28,51.58,56.02,58.19,59.5,62.06,64.71,66,66.03,66.44,67.2,68.34,68.99,69.6,70.19,70.75,71.29,71.84,72.38,72.94,73.49,74.06,74.64,75.24,75.84
CENTRAL AND SOUTHERN ASIA,921,SDG region,1828,37.77,40.94,44.05,47.14,49.78,53.07,55.17,57.33,59.78,61.97,64,65.92,68.04,69.48,70.59,71.59,72.47,73.28,74.05,74.79,75.51,76.21,76.88,77.54,78.21,78.87,79.52,80.19,80.83,81.49
Central Asia,5500,Subregion,921,54.23,56.24,58.24,60.17,61.73,62.81,64.14,65.69,64.54,63.93,65.63,67.45,69.52,71.64,72.3,72.94,73.55,74.16,74.77,75.38,75.99,76.62,77.25,77.9,78.56,79.24,79.91,80.6,81.28,81.95
Kazakhstan,398,Country/Area,5500,55.08,57.32,59.51,61.66,63.26,64.31,65.89,67.5,65.45,62.96,64.59,66.08,69.07,73.23,73.9,74.56,75.25,75.93,76.62,77.32,78.03,78.76,79.49,80.22,80.95,81.67,82.35,82.99,83.61,84.19
Kyrgyzstan,417,Country/Area,5500,52.83,55.09,57.35,59.57,61.26,62.4,64.03,66.07,66.25,65.93,66.9,67.47,70.27,71.18,71.95,72.68,73.37,74.04,74.72,75.42,76.12,76.81,77.53,78.24,78.96,79.7,80.43,81.14,81.86,82.54
Tajikistan,762,Country/Area,5500,48.2,49.81,51.41,52.99,55.05,56.83,57.45,59.86,57.8,60.09,64.08,67.73,69.39,70.77,71.76,72.68,73.54,74.35,75.12,75.86,76.59,77.29,78,78.7,79.39,80.08,80.76,81.43,82.08,82.73
Turkmenistan,795,Country/Area,5500,51.29,53.42,55.52,57.61,59.17,60.22,61.77,62.84,62.7,63.18,64.23,65.87,67.3,67.98,68.63,69.24,69.84,70.42,71,71.57,72.17,72.76,73.37,74,74.64,75.28,75.93,76.6,77.28,77.96
Uzbekistan,860,Country/Area,5500,56.07,57.91,59.76,61.62,63.03,64.01,65.3,66.58,66.27,66.72,67.73,69.1,70.23,71.53,72.04,72.56,73.08,73.61,74.15,74.7,75.26,75.85,76.42,77.03,77.64,78.27,78.9,79.55,80.22,80.87
Southern Asia,5501,Subregion,921,37.33,40.47,43.56,46.66,49.33,52.69,54.82,57,59.59,61.89,63.94,65.87,67.98,69.39,70.52,71.53,72.43,73.24,74.01,74.76,75.48,76.18,76.85,77.52,78.18,78.84,79.5,80.16,80.81,81.46
Afghanistan,4,Country/Area,5501,28.61,31.13,33.74,36.15,38.74,41.63,44.97,48.56,51.96,54.67,57,59.63,62.32,64.28,65.98,67.38,68.55,69.57,70.47,71.28,72.04,72.75,73.45,74.14,74.81,75.51,76.19,76.88,77.56,78.25
Bangladesh,50,Country/Area,5501,40.54,43.86,46.66,48.63,45.81,51.57,53.84,56.7,59.9,64.01,66.6,68.83,70.79,72.15,73.57,74.83,75.95,76.98,77.96,78.88,79.77,80.64,81.45,82.25,83.01,83.73,84.38,84.98,85.55,86.08
Bhutan,64,Country/Area,5501,32.26,33.78,35.47,38.2,41.06,43.69,47.39,50.98,54.81,58.58,63.19,67.05,69.41,71.28,72.77,73.97,75.01,75.94,76.79,77.59,78.36,79.09,79.82,80.53,81.22,81.89,82.56,83.19,83.79,84.37
India,356,Country/Area,5501,36.98,39.93,42.94,46.1,49.37,52.51,54.91,56.69,59.12,61.47,63.5,65.53,67.77,69.27,70.42,71.43,72.32,73.12,73.89,74.62,75.34,76.05,76.75,77.45,78.16,78.87,79.57,80.29,80.98,81.68
Iran (Islamic Republic of),364,Country/Area,5501,40.59,43.5,46.38,49.18,52.67,56.71,52.11,59.97,66.91,69.09,71.15,72.72,75.04,76.35,77.33,78.25,79.13,79.96,80.77,81.55,82.3,83.03,83.71,84.34,84.94,85.49,86.01,86.55,87.07,87.61
Maldives,462,Country/Area,5501,34.45,36.06,38.92,42.35,46.1,50.57,55.45,59.34,63.77,68.02,72.09,74.81,76.82,78.47,79.89,81.15,82.28,83.29,84.19,84.95,85.62,86.24,86.84,87.44,88.01,88.6,89.17,89.74,90.31,90.86
Nepal,524,Country/Area,5501,34.53,34.98,36.57,39.44,42.33,45.18,48.52,52.28,56.56,60.5,63.87,66.47,68.61,70.31,71.74,72.87,73.89,74.85,75.74,76.59,77.4,78.16,78.91,79.63,80.32,81.01,81.7,82.38,83.04,83.66
Pakistan,586,Country/Area,5501,37.45,42.86,47.45,51.11,53.93,55.95,57.7,59.33,60.82,62.16,63.44,64.49,66.02,67.02,67.79,68.52,69.21,69.87,70.5,71.11,71.72,72.31,72.9,73.5,74.11,74.74,75.38,76.04,76.71,77.38
Sri Lanka,144,Country/Area,5501,54.51,58.3,60.26,62.93,65.14,66.96,69.08,68.91,70.02,69.06,73.9,74.93,75.89,76.73,77.56,78.39,79.22,80.04,80.85,81.64,82.42,83.15,83.82,84.45,85.03,85.6,86.16,86.7,87.23,87.77
EASTERN AND SOUTH-EASTERN ASIA,1832,SDG region,1828,45.41,47.08,48.02,56.49,61.17,64.11,66.71,68.31,69.2,70.4,71.97,73.44,74.88,76.26,77.01,77.73,78.44,79.12,79.8,80.48,81.14,81.8,82.43,83.03,83.61,84.16,84.71,85.26,85.81,86.36
Eastern Asia,906,Subregion,1832,45.44,46.69,47.03,57.04,62.84,66.52,68.71,69.89,70.53,71.67,73.45,74.89,76.34,77.76,78.53,79.27,79.98,80.69,81.41,82.14,82.86,83.56,84.24,84.86,85.44,85.98,86.5,87.03,87.55,88.06
China,156,Country/Area,906,43.83,44.47,44.55,55.47,61.68,65.51,67.75,68.92,69.37,70.58,72.26,73.68,75.14,76.62,77.47,78.31,79.13,79.94,80.73,81.52,82.28,83.02,83.72,84.36,84.96,85.52,86.04,86.56,87.08,87.61
"China, Hong Kong SAR",344,Country/Area,906,63.15,65.88,68.81,70.85,72.49,73.76,75.61,76.96,78.04,79.98,81.41,82.43,83.4,84.63,85.29,85.94,86.61,87.27,87.93,88.59,89.22,89.83,90.41,90.96,91.48,91.98,92.47,92.97,93.48,94.02
"China, Macao SAR",446,Country/Area,906,60.98,63.58,66.01,68.12,70.64,73.02,74.82,76.54,78.05,79.75,80.97,82.07,83.29,84.04,84.68,85.33,85.99,86.64,87.3,87.94,88.55,89.13,89.68,90.23,90.77,91.33,91.88,92.43,92.98,93.55
"China, Taiwan Province of China",158,Country/Area,906,58.16,62.92,65.01,66.91,69.33,70.78,72.13,73.36,74.42,75.22,76.94,78.2,79.26,80.19,81.04,81.88,82.69,83.44,84.11,84.74,85.33,85.92,86.49,87.04,87.6,88.15,88.71,89.26,89.81,90.36
Dem. People's Republic of Korea,408,Country/Area,906,37.59,49.88,51.63,57.24,61.73,65.03,67.06,68.59,70.03,63.5,68.06,68.44,70.79,71.96,72.89,73.8,74.66,75.49,76.31,77.12,77.91,78.71,79.51,80.29,81.07,81.84,82.58,83.28,83.92,84.53
Japan,392,Country/Area,906,62.8,66.4,69.16,71.41,73.28,75.4,77.01,78.53,79.42,80.51,81.8,82.65,83.32,84.43,85.03,85.62,86.21,86.79,87.37,87.94,88.52,89.07,89.63,90.19,90.74,91.29,91.84,92.4,92.95,93.5
Mongolia,496,Country/Area,906,43.18,46.09,50.73,53.87,56.43,56.85,57.3,59.6,60.77,61.82,64.08,66.14,68.47,69.55,70.53,71.48,72.38,73.25,74.1,74.93,75.76,76.57,77.37,78.19,78.99,79.79,80.58,81.36,82.1,82.8
Republic of Korea,410,Country/Area,906,41.93,52.87,56.26,59.29,63.1,65,67.38,70.34,72.85,74.95,77.17,79.47,81.27,82.77,83.5,84.18,84.85,85.48,86.12,86.73,87.34,87.94,88.52,89.1,89.67,90.26,90.84,91.41,91.98,92.55
South-Eastern Asia,920,Subregion,1832,45.72,49.24,52.15,54.63,55.83,57.26,61.22,63.53,65.31,66.71,67.91,69.62,71.17,72.46,73.29,74.09,74.9,75.64,76.37,77.06,77.73,78.4,79.07,79.73,80.39,81.05,81.7,82.35,82.99,83.62
Brunei Darussalam,96,Country/Area,920,50.93,52.48,57.47,61.09,63.89,66.38,68.28,69.54,70.83,72.11,73.46,74.43,75,75.66,76.35,77.03,77.71,78.37,79.03,79.68,80.35,81.02,81.66,82.32,82.96,83.58,84.16,84.72,85.25,85.75
Cambodia,116,Country/Area,920,40.32,41.05,41.39,41.97,37.84,14.49,45.08,52.04,54.27,56.41,60.78,65.12,67.61,69.44,70.54,71.52,72.39,73.22,73.97,74.7,75.41,76.11,76.8,77.47,78.16,78.85,79.53,80.22,80.9,81.56
Indonesia,360,Country/Area,920,41.76,45.08,48.18,51.05,54.02,56.69,59.21,61.28,63.31,65.15,66.4,68.33,70.01,71.41,72.32,73.2,74.04,74.84,75.64,76.39,77.15,77.9,78.66,79.4,80.14,80.88,81.61,82.34,83.03,83.7
Lao People's Democratic Republic,418,Country/Area,920,40.93,42.44,43.97,45.48,47.04,48.4,49.89,52.37,54.43,57.38,60.2,62.99,65.49,67.44,68.89,70.17,71.27,72.23,73.08,73.89,74.66,75.38,76.08,76.76,77.44,78.12,78.79,79.45,80.1,80.78
Malaysia,458,Country/Area,920,54.95,58.53,61.24,63.45,65.64,67.19,68.99,70.17,71.47,72.14,73.09,74.03,74.96,75.93,76.65,77.36,78.06,78.76,79.48,80.18,80.88,81.6,82.31,83,83.65,84.26,84.84,85.39,85.92,86.42
Myanmar,104,Country/Area,920,36.37,40.93,43.7,47.49,49.84,51.91,53.91,55.98,57.65,59.26,60.87,62.44,64.68,66.76,67.78,68.68,69.5,70.25,70.96,71.65,72.32,73,73.68,74.35,75.02,75.71,76.39,77.09,77.8,78.5
Philippines,608,Country/Area,920,56.49,59.83,62,62.94,63.23,63.24,64.27,65.24,67.51,68.64,68.86,69.45,70.23,71.04,71.66,72.3,72.96,73.61,74.27,74.95,75.63,76.31,77,77.7,78.42,79.14,79.86,80.59,81.3,82.01
Singapore,702,Country/Area,920,60.23,64.05,66.44,67.24,69.1,71.03,72.9,74.93,76.69,77.01,79.18,81.22,82.3,83.39,84.07,84.68,85.28,85.87,86.46,87.05,87.63,88.22,88.8,89.37,89.94,90.5,91.06,91.62,92.19,92.76
Thailand,764,Country/Area,920,50.81,53.3,56.05,58.18,60.66,63.31,65.74,69.77,70.15,70.3,71.22,73.15,75.18,76.83,77.74,78.64,79.52,80.38,81.24,82.06,82.81,83.5,84.14,84.75,85.34,85.91,86.45,87,87.55,88.09
Timor-Leste,626,Country/Area,920,29.97,32.48,34.98,37.49,39.95,31.18,39.92,46.45,50.46,56.68,61.14,66.16,67.67,69.15,70.18,71.1,71.91,72.66,73.38,74.08,74.75,75.43,76.09,76.75,77.42,78.09,78.75,79.42,80.1,80.77
Viet Nam,704,Country/Area,920,53.5,57.26,60.48,62.33,57.75,66.1,68.05,69.78,71.25,72.52,73.5,74.59,74.96,75.27,75.77,76.45,77.3,78,78.72,79.44,80.17,80.9,81.63,82.31,82.95,83.56,84.15,84.72,85.27,85.81
LATIN AMERICA AND THE CARIBBEAN,1830,SDG region,1828,51.4,54.24,56.79,58.95,61.23,63.33,65.29,67.15,68.96,70.67,72.25,73.45,74.44,75.24,76.07,77,77.97,78.83,79.67,80.48,81.26,82,82.7,83.36,83.99,84.59,85.17,85.73,86.27,86.81
Caribbean,915,Subregion,1830,52.11,55.34,58.12,60.62,62.75,64.43,65.51,66.68,67.53,68.74,69.74,70.83,71.63,72.53,73.35,74.29,75.25,76.02,76.73,77.37,77.95,78.51,79.06,79.61,80.17,80.74,81.29,81.82,82.36,82.88
Antigua and Barbuda,28,Country/Area,915,57.37,60.45,63.3,65.24,66.36,67.67,69.33,70.88,72.11,73.34,74.5,75.46,76.14,76.82,77.47,78.12,78.76,79.4,80.03,80.67,81.31,81.94,82.57,83.18,83.78,84.36,84.91,85.44,85.94,86.44
Aruba,533,Country/Area,915,60.44,64.38,66.58,68.22,70.04,71.55,72.87,73.32,73.56,73.69,73.97,74.67,75.37,76.08,76.79,77.49,78.2,78.89,79.57,80.25,80.91,81.58,82.25,82.89,83.5,84.08,84.64,85.17,85.68,86.16
Bahamas,44,Country/Area,915,63.1,64.28,65.08,65.53,66.29,67.26,67.8,69.31,70.97,71.72,72,72.01,72.47,73.73,74.28,74.85,75.42,76,76.59,77.18,77.77,78.39,79,79.64,80.28,80.93,81.59,82.23,82.87,83.47
Barbados,52,Country/Area,915,55.6,62.15,66.07,68.05,69.22,71.13,73.19,74.28,75.17,76.56,77.63,78.11,78.6,79.02,79.64,80.34,81.11,81.8,82.49,83.15,83.79,84.39,84.95,85.48,85.97,86.48,86.98,87.48,87.99,88.49
Cuba,192,Country/Area,915,59.4,62.35,65.35,68.48,70.97,73.09,74.23,74.64,74.78,76.17,77.16,78.11,78.46,78.69,79.18,79.95,80.99,81.73,82.46,83.18,83.85,84.47,85.05,85.59,86.11,86.62,87.13,87.63,88.14,88.65
Curaçao,531,Country/Area,915,60.65,64.34,66.48,68.16,69.91,72.15,73.66,74.44,74.54,74.58,75,76.12,77.77,78.63,79.41,80.22,81.01,81.8,82.57,83.28,83.95,84.55,85.13,85.68,86.22,86.73,87.25,87.77,88.3,88.83
Dominican Republic,214,Country/Area,915,45.99,49.78,53.33,56.56,59.5,61.87,63.77,65.61,67.46,68.78,70.08,71.45,72.62,73.81,74.65,75.47,76.28,77.08,77.86,78.65,79.43,80.21,80.98,81.74,82.47,83.17,83.83,84.43,85,85.56
Grenada,308,Country/Area,915,58.57,61.07,63.26,64.93,66.24,67.47,68.21,68.85,70.49,72.11,72.96,73.08,72.6,72.39,72.59,73.19,74.2,74.81,75.43,76.06,76.69,77.33,77.96,78.61,79.25,79.91,80.56,81.23,81.88,82.54
Guadeloupe,312,Country/Area,915,53.34,57.19,60.52,63.64,66.2,68.64,70.82,72.8,74.59,76.27,77.85,79.39,80.56,81.84,82.74,83.5,84.22,84.9,85.56,86.21,86.83,87.44,88.02,88.57,89.1,89.61,90.12,90.65,91.21,91.75
Haiti,332,Country/Area,915,37.48,40.62,42.75,44.94,47.21,50.07,51.77,53.47,55.03,56.57,57.74,59.65,61.41,63.52,64.99,66.28,67.41,68.42,69.32,70.14,70.9,71.62,72.31,72.99,73.67,74.34,75.02,75.69,76.37,77.05
Jamaica,388,Country/Area,915,59.55,63.63,65.53,67.22,68.6,70.18,71.32,72.37,73.91,74.13,74.12,74.15,73.98,74.33,74.88,75.48,76.13,76.71,77.3,77.89,78.5,79.12,79.74,80.37,81.01,81.65,82.3,82.92,83.53,84.11
Martinique,474,Country/Area,915,55.57,58.88,61.86,64.65,67.26,69.7,71.88,73.86,75.68,77.37,78.94,80.11,81.2,82.27,83.13,83.88,84.6,85.29,85.94,86.6,87.23,87.84,88.42,88.98,89.51,90.03,90.56,91.09,91.66,92.23
Puerto Rico,630,Country/Area,915,63.53,67.91,69.13,70.75,72.35,73.54,73.92,74.59,73.85,74.89,76.79,77.94,79.14,79.85,80.69,81.53,82.32,83.01,83.64,84.22,84.79,85.34,85.88,86.41,86.93,87.45,87.98,88.5,89.04,89.57
Saint Lucia,662,Country/Area,915,50.43,54.57,58.82,62.44,64.71,67.2,68.93,70.39,71.71,72.87,73.71,74.51,75.2,75.99,76.67,77.33,77.99,78.63,79.28,79.91,80.57,81.21,81.86,82.5,83.13,83.73,84.31,84.86,85.39,85.87
Saint Vincent and the Grenadines,670,Country/Area,915,53.47,57.45,60.76,62.83,64.52,66.44,68.67,70.18,70.74,70.7,71.01,71.64,71.89,72.36,72.98,73.63,74.25,74.89,75.53,76.18,76.8,77.44,78.09,78.75,79.4,80.07,80.74,81.41,82.08,82.74
Trinidad and Tobago,780,Country/Area,915,58.05,60.94,63.22,64.35,65.04,66.12,66.91,67.75,68.38,68.9,70.05,71.34,72.48,73.31,73.91,74.53,75.16,75.79,76.43,77.08,77.73,78.39,79.07,79.74,80.42,81.12,81.81,82.48,83.13,83.76
United States Virgin Islands,850,Country/Area,915,62.9,65.5,66.83,68.3,69.79,71.15,72.3,73.6,74.82,76.08,77.09,77.82,79.41,80.32,81.17,82.02,82.85,83.61,84.29,84.92,85.53,86.11,86.66,87.2,87.74,88.26,88.79,89.31,89.86,90.41
Central America,916,Subregion,1830,49.11,53.23,56.44,58.59,61.01,63.55,65.89,68.3,70.52,72.23,74.01,74.4,74.59,74.91,75.5,76.36,77.52,78.33,79.14,79.94,80.72,81.49,82.25,82.97,83.64,84.28,84.87,85.44,85.98,86.5
Belize,84,Country/Area,916,55.92,58.64,61.35,64.26,66.72,68.66,70.35,71.46,70.57,68.59,69.58,70.69,73.4,74.37,75.09,75.83,76.55,77.28,78.01,78.73,79.46,80.18,80.92,81.63,82.34,83,83.65,84.25,84.82,85.37
Costa Rica,188,Country/Area,916,56,58.75,61.99,64.61,67.18,70.52,73.45,75.11,76.08,77.04,77.81,78.42,79.16,80,80.94,81.85,82.73,83.53,84.23,84.88,85.5,86.08,86.65,87.21,87.76,88.3,88.83,89.37,89.9,90.43
El Salvador,222,Country/Area,916,44.62,48.13,51.59,53.94,55.76,56.22,57.16,61.57,66.08,68.02,69.57,70.62,71.82,72.99,74.06,75.07,76.04,76.97,77.89,78.78,79.66,80.51,81.33,82.1,82.81,83.45,84.06,84.65,85.23,85.78
