regionName,countryCode,nameType,parentCode,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Guatemala,320,Country/Area,916,42.92,45.46,48.01,50.93,53.97,56.19,58.4,60.98,63.6,66.55,68.94,70.5,72.44,73.94,75.05,76.08,77.06,78,78.92,79.79,80.65,81.49,82.31,83.07,83.79,84.44,85.06,85.64,86.18,86.72
Honduras,340,Country/Area,916,41.79,44.59,48,51.05,54.09,57.71,61.59,65.45,67.73,69.88,71.36,72.66,73.94,74.99,75.87,76.73,77.56,78.37,79.16,79.93,80.7,81.46,82.21,82.94,83.62,84.26,84.84,85.41,85.93,86.44
Mexico,484,Country/Area,916,50.69,55.26,58.46,60.29,62.57,65.3,67.72,69.83,71.81,73.34,75.11,75.18,74.94,74.98,75.41,76.23,77.45,78.23,79.01,79.78,80.53,81.29,82.03,82.74,83.42,84.06,84.65,85.21,85.74,86.26
Nicaragua,558,Country/Area,916,42.31,45.42,48.6,51.84,55.06,57.4,59.4,62.38,66.1,68.35,70.53,71.73,73.1,74.15,75.23,76.25,77.22,78.16,79.07,79.95,80.81,81.65,82.45,83.2,83.87,84.51,85.11,85.7,86.26,86.8
Panama,591,Country/Area,916,56.81,59.51,62.15,64.36,66.74,69.22,70.99,72.37,73.54,74.6,75.49,76.31,77.29,78.24,79.1,79.96,80.81,81.64,82.45,83.19,83.87,84.49,85.08,85.66,86.22,86.78,87.33,87.86,88.41,88.94
South America,931,Subregion,1830,52.13,54.46,56.75,58.88,61.13,63.11,65.03,66.81,68.59,70.32,71.9,73.4,74.68,75.63,76.55,77.51,78.41,79.3,80.16,81,81.8,82.55,83.24,83.89,84.5,85.1,85.68,86.24,86.79,87.33
Argentina,32,Country/Area,931,62.57,64.58,65.3,65.83,67.27,68.71,70.2,71.05,72.16,73.12,74.02,74.87,75.68,76.45,77.17,77.91,78.65,79.39,80.13,80.87,81.61,82.32,83.01,83.64,84.26,84.83,85.4,85.95,86.49,87.02
Bolivia (Plurinational State of),68,Country/Area,931,39.64,41.04,42.67,44.54,46.67,49.07,51.71,54.59,57.66,60.89,63.94,66.62,69.26,71.08,72.35,73.47,74.46,75.39,76.26,77.09,77.89,78.67,79.43,80.17,80.91,81.64,82.34,83.01,83.62,84.19
Brazil,76,Country/Area,931,50.83,52.95,55.38,57.8,59.94,61.77,63.5,65.35,67.34,69.25,70.96,72.8,74.34,75.56,76.57,77.55,78.5,79.43,80.33,81.23,82.07,82.86,83.56,84.23,84.85,85.45,86.04,86.6,87.15,87.71
Chile,152,Country/Area,931,54.58,56.31,58.25,60.76,63.89,67.33,70.53,72.68,74.22,75.66,77.02,78.19,79.29,79.96,80.74,81.64,82.67,83.49,84.22,84.88,85.51,86.1,86.66,87.23,87.78,88.33,88.88,89.42,89.95,90.49
Colombia,170,Country/Area,931,51.83,55.74,58.55,60.94,63.35,65.67,68.03,69.39,70.19,72.13,73.65,74.83,75.99,77.02,77.87,78.72,79.55,80.38,81.19,81.98,82.77,83.49,84.16,84.78,85.36,85.92,86.46,87,87.54,88.07
Ecuador,218,Country/Area,931,48.59,51.52,54.39,56.91,59.51,62.09,64.96,67.69,69.98,71.87,73.53,74.59,75.59,76.7,77.71,78.68,79.62,80.53,81.42,82.27,83.08,83.82,84.5,85.13,85.71,86.27,86.82,87.37,87.91,88.45
French Guiana,254,Country/Area,931,53.32,56.14,59.53,64.37,65.73,66.54,69.2,71.06,72.75,74.24,76.29,78.04,79.31,79.73,80.53,81.45,82.46,83.26,83.98,84.65,85.28,85.89,86.48,87.06,87.62,88.18,88.72,89.27,89.81,90.35
Guyana,328,Country/Area,931,58.83,59.81,60.69,61.55,61.96,62.31,62.68,62.98,63.69,64.56,66,67.37,68.69,69.71,70.26,70.81,71.34,71.89,72.46,73.03,73.6,74.18,74.78,75.39,76.01,76.66,77.31,77.96,78.64,79.32
Paraguay,600,Country/Area,931,62.73,63.3,64.47,65.04,65.73,66.56,67.45,68.02,69.11,69.94,71.17,72.13,73.16,74.08,74.59,75.13,75.69,76.25,76.85,77.44,78.06,78.69,79.34,80,80.66,81.33,81.99,82.66,83.29,83.91
Peru,604,Country/Area,931,44.11,46.44,49.64,52.22,56.15,58.84,61.67,64.62,67.63,70.03,72.06,73.66,75.11,76.41,77.44,78.47,79.47,80.42,81.34,82.24,83.08,83.85,84.55,85.21,85.82,86.39,86.96,87.51,88.06,88.61
Suriname,740,Country/Area,931,55.98,58.68,60.51,62.12,63.63,64.77,66.32,67.15,67.62,67.82,68.06,69.82,70.93,71.49,72.13,72.77,73.41,74.06,74.72,75.38,76.06,76.72,77.42,78.1,78.8,79.49,80.2,80.9,81.61,82.3
Uruguay,858,Country/Area,931,66.11,67.11,68.34,68.55,68.77,69.59,70.98,72.12,73.03,74.23,75.23,76.38,77.05,77.7,78.43,79.17,79.92,80.67,81.43,82.16,82.83,83.46,84.06,84.64,85.21,85.76,86.31,86.85,87.39,87.94
Venezuela (Bolivarian Republic of),862,Country/Area,931,55.47,58.4,61.18,63.6,66.15,67.84,69.14,70.21,71.03,71.62,72.57,72.99,73.07,72.13,72.34,73.65,74.39,75.12,75.85,76.59,77.31,78.03,78.75,79.48,80.2,80.91,81.61,82.28,82.92,83.52
AUSTRALIA/NEW ZEALAND,927,SDG region,1828,69.45,70.47,70.93,70.92,71.76,73.41,74.85,75.88,77.46,78.63,80.12,81.28,82.19,83.01,83.75,84.39,85.03,85.62,86.21,86.79,87.36,87.92,88.49,89.06,89.63,90.19,90.74,91.31,91.87,92.43
Australia,36,Country/Area,927,69.39,70.43,70.88,70.84,71.76,73.59,75.09,76.19,77.69,78.84,80.34,81.48,82.36,83.2,83.94,84.55,85.18,85.77,86.35,86.93,87.49,88.06,88.63,89.2,89.77,90.33,90.89,91.46,92.02,92.57
New Zealand,554,Country/Area,927,69.77,70.69,71.18,71.27,71.78,72.63,73.77,74.45,76.35,77.57,79.07,80.32,81.32,82.06,82.8,83.55,84.25,84.88,85.47,86.05,86.61,87.15,87.71,88.25,88.81,89.36,89.9,90.46,91.01,91.57
OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),1835,SDG region,1828,38.26,42.08,45.13,48.51,51.71,54.72,57.26,58.76,60.15,61.33,62.39,63.71,64.99,66.29,67.28,68.18,68.99,69.7,70.36,70.97,71.53,72.1,72.62,73.15,73.7,74.24,74.79,75.35,75.92,76.49
Melanesia,928,Subregion,1835,36.56,40.35,43.47,46.97,50.34,53.55,56.17,57.67,59.07,60.29,61.35,62.72,64.07,65.39,66.4,67.31,68.13,68.86,69.54,70.18,70.78,71.38,71.94,72.49,73.05,73.62,74.19,74.78,75.37,75.97
Fiji,242,Country/Area,928,55.47,59.58,61.54,62.48,62.51,63.47,64.51,65.39,65.24,65.22,66.19,66.38,66.95,67.27,67.91,68.63,69.45,70.1,70.73,71.35,71.95,72.55,73.15,73.76,74.39,75.02,75.66,76.33,77.01,77.68
New Caledonia,540,Country/Area,928,50.74,54.6,58.03,61.04,63.69,66.02,68.07,69.88,71.45,72.87,74.11,75.18,76.33,77.28,78.16,79.05,79.91,80.75,81.58,82.38,83.14,83.83,84.48,85.09,85.66,86.22,86.75,87.29,87.84,88.38
Papua New Guinea,598,Country/Area,928,34.05,37.46,40.44,44.07,47.74,51.16,54.03,55.63,57.32,58.74,59.8,61.32,62.73,64.15,65.22,66.16,66.98,67.72,68.41,69.05,69.66,70.27,70.82,71.38,71.93,72.48,73.02,73.59,74.15,74.73
Solomon Islands,90,Country/Area,928,41.94,46.07,50.16,54.14,58.14,61.33,63.21,64.06,64.79,66.49,68.38,69.89,71.43,72.77,73.38,74,74.64,75.26,75.88,76.52,77.16,77.8,78.45,79.11,79.78,80.45,81.14,81.82,82.49,83.15
Vanuatu,548,Country/Area,928,45.04,47.7,50.28,53.12,55.77,58.52,61.35,63.79,65.48,66.76,67.9,68.74,69.49,70.25,70.99,71.68,72.33,72.96,73.59,74.19,74.81,75.43,76.03,76.63,77.25,77.87,78.51,79.17,79.83,80.49
Micronesia,954,Subregion,1835,51.51,53.58,55.76,57.91,59.96,61.74,63.29,64.79,66.31,67.9,69.49,70.62,71.82,73.14,74.08,74.94,75.73,76.42,77.07,77.68,78.27,78.83,79.39,79.98,80.59,81.23,81.85,82.44,83.02,83.6
Guam,316,Country/Area,954,57.13,59.67,62.24,64.57,66.66,68.45,70,71.34,72.54,74.09,75.92,77.36,78.5,79.77,80.74,81.68,82.54,83.29,83.96,84.61,85.23,85.84,86.43,87.02,87.59,88.16,88.73,89.28,89.85,90.42
Kiribati,296,Country/Area,954,43.63,45.9,48.3,51.08,53.42,55.24,56.7,58.55,60.69,62.31,63.9,65.04,66.54,67.99,69.17,70.2,71.14,72.04,72.9,73.73,74.55,75.34,76.12,76.9,77.68,78.45,79.22,80,80.77,81.54
Micronesia (Fed. States of),583,Country/Area,954,51.3,53.42,55.62,57.8,59.85,61.7,62.76,63.29,63.89,64.23,64.98,66.02,66.89,67.7,68.27,68.82,69.37,69.88,70.39,70.87,71.34,71.82,72.3,72.81,73.32,73.86,74.4,74.97,75.56,76.14
Polynesia,957,Subregion,1835,53.31,56.68,58.52,60.3,62.11,63.82,66.13,67.52,68.64,69.81,71.16,72.56,73.67,74.73,75.54,76.33,77.1,77.84,78.56,79.26,79.93,80.56,81.15,81.71,82.23,82.73,83.25,83.78,84.33,84.86
French Polynesia,258,Country/Area,957,48.94,54.86,57.11,59.28,61.04,62.85,66.29,67.98,69.46,71.43,73.15,74.99,76.14,77.38,78.23,79.07,79.91,80.74,81.56,82.36,83.14,83.87,84.53,85.15,85.71,86.25,86.79,87.33,87.88,88.42
Samoa,882,Country/Area,957,54.47,56.17,57.61,59.11,60.78,62.58,64.48,65.77,66.76,67.86,69.67,71,72.25,73.11,73.75,74.38,75.03,75.68,76.32,76.99,77.66,78.33,79.02,79.72,80.42,81.11,81.8,82.49,83.16,83.79
Tonga,776,Country/Area,957,56.96,58.93,60.87,63.03,64.86,66.27,67.46,68.56,69.18,69.47,69.83,69.86,70.31,70.74,71.32,71.88,72.43,72.98,73.55,74.08,74.62,75.16,75.72,76.29,76.87,77.48,78.11,78.74,79.39,80.05
EUROPE AND NORTHERN AMERICA,1829,SDG region,1828,64.97,67.82,69.48,70.17,70.85,71.61,72.36,73.41,73.5,74.07,74.79,76.16,77.75,78.53,79.16,79.92,80.78,81.51,82.21,82.88,83.52,84.14,84.75,85.38,86,86.61,87.19,87.74,88.27,88.81
EUROPE,917,SDG subregion,1829,63.69,67.13,69.21,70.05,70.62,71.05,71.66,72.84,72.67,73.11,73.8,75.3,77.18,78.33,79.09,79.86,80.61,81.32,82.01,82.67,83.31,83.94,84.57,85.22,85.87,86.51,87.11,87.68,88.22,88.78
Eastern Europe,923,Subregion,917,60.36,65.52,68.4,69.04,69.16,68.75,68.64,69.8,68.3,67.84,67.91,69.52,72.19,73.75,74.47,75.2,75.92,76.64,77.35,78.06,78.76,79.46,80.16,80.86,81.55,82.22,82.84,83.44,84.02,84.58
Belarus,112,Country/Area,923,60.69,66.31,69.1,70.36,70.52,70.42,70.15,71.37,69.45,67.44,67.83,69.26,72.45,74.49,75.2,75.9,76.61,77.31,78.01,78.72,79.44,80.15,80.85,81.51,82.14,82.74,83.31,83.86,84.39,84.91
Bulgaria,100,Country/Area,923,62.32,66.77,70.27,70.9,71.07,71.1,71.24,71.4,71.12,70.97,72.2,73.14,74.25,74.85,75.49,76.14,76.79,77.43,78.1,78.76,79.43,80.11,80.78,81.45,82.11,82.73,83.32,83.89,84.42,84.93
Czechia,203,Country/Area,923,66.87,69.58,70.35,69.98,70.04,70.63,70.78,71.45,72.49,74.22,75.53,76.99,78.16,79.15,79.85,80.57,81.3,82.02,82.75,83.44,84.06,84.66,85.24,85.79,86.32,86.85,87.38,87.9,88.43,88.95
Hungary,348,Country/Area,923,64.01,66.91,68.79,69.45,69.4,69.59,69.08,69.43,69.41,70.88,72.53,73.74,75.25,76.63,77.31,78.01,78.71,79.42,80.12,80.84,81.56,82.27,82.93,83.55,84.15,84.72,85.27,85.81,86.34,86.85
Poland,616,Country/Area,923,61.44,65.89,68.31,69.79,70.29,70.36,70.7,70.73,71.15,72.72,74.6,75.56,77.15,78.46,79.27,80.09,80.9,81.7,82.42,83.09,83.71,84.31,84.9,85.47,86.03,86.59,87.14,87.67,88.21,88.75
Republic of Moldova,498,Country/Area,923,59.04,61.07,62.87,64.64,65.18,65.16,65.1,67.53,67.3,66.61,67.62,68.27,70.97,71.68,72.3,72.94,73.57,74.19,74.83,75.47,76.14,76.81,77.5,78.19,78.9,79.61,80.32,81.03,81.72,82.38
Romania,642,Country/Area,923,61.14,63.29,67.78,67.34,69.03,69.59,69.73,69.52,69.61,69.71,71.47,73.08,74.94,75.83,76.5,77.2,77.89,78.59,79.3,80.02,80.75,81.47,82.19,82.86,83.5,84.11,84.68,85.24,85.78,86.3
Russian Federation,643,Country/Area,923,58.52,64.8,67.88,68.48,68.31,67.57,67.47,69.13,66.58,65.7,64.95,67.14,70.27,72.29,72.99,73.69,74.4,75.12,75.85,76.58,77.31,78.06,78.8,79.54,80.28,81,81.67,82.31,82.92,83.5
Slovakia,703,Country/Area,923,64.43,68.65,70.63,70.32,70.07,70.48,70.63,70.96,71.6,72.74,73.82,74.77,76.23,77.31,78,78.71,79.43,80.16,80.89,81.6,82.3,82.97,83.59,84.17,84.74,85.28,85.82,86.34,86.85,87.36
Ukraine,804,Country/Area,923,61.82,67.1,69.69,70.67,70.58,69.67,69.17,70.55,68.72,67.35,67.46,67.89,70.91,71.82,72.5,73.19,73.86,74.54,75.22,75.91,76.61,77.31,78.01,78.74,79.45,80.18,80.88,81.55,82.19,82.79
Northern Europe,924,Subregion,917,68.87,70.49,71.17,71.86,72.36,73.04,74.05,74.92,75.66,76.66,77.93,79.16,80.47,81.02,81.73,82.49,83.29,83.99,84.63,85.24,85.81,86.37,86.91,87.47,88.02,88.55,89.08,89.62,90.14,90.67
Channel Islands,830,Country/Area,924,69.23,70.46,70.92,71.6,72.07,72.86,74.04,74.94,76.08,78.32,79.62,80.93,81.97,82.84,83.6,84.27,84.88,85.47,86.04,86.62,87.17,87.73,88.29,88.84,89.39,89.93,90.49,91.04,91.59,92.14
Denmark,208,Country/Area,924,71.06,72.07,72.4,72.93,73.63,74.24,74.44,74.75,75.23,76.14,77.34,78.58,80.14,80.68,81.4,82.13,82.87,83.59,84.25,84.85,85.42,85.98,86.5,87.04,87.57,88.1,88.63,89.16,89.7,90.22
Estonia,233,Country/Area,924,61.79,66.94,69.38,70.32,70.26,69.42,69.31,70.33,68.48,69.44,71.59,73.78,76.76,78.46,79.18,79.93,80.68,81.41,82.09,82.72,83.32,83.9,84.47,85.03,85.57,86.12,86.67,87.2,87.74,88.25
Finland,246,Country/Area,924,66.4,68.19,69.07,69.72,70.94,72.72,74.33,74.79,75.84,77.14,78.4,79.54,80.7,81.64,82.48,83.22,83.88,84.48,85.08,85.66,86.25,86.81,87.36,87.92,88.47,89.02,89.57,90.13,90.67,91.22
Iceland,352,Country/Area,924,72.24,73.22,73.51,73.65,74.2,76.33,76.85,77.61,78.53,79.1,80.69,81.39,82.19,82.77,83.52,84.24,84.87,85.47,86.03,86.58,87.12,87.66,88.2,88.73,89.26,89.78,90.31,90.84,91.36,91.9
Ireland,372,Country/Area,924,66.88,69.14,70.12,70.75,71.23,72,73.18,74.22,75.35,76.04,77.84,79.68,80.61,82.05,82.81,83.58,84.3,84.94,85.54,86.12,86.69,87.24,87.8,88.35,88.89,89.42,89.96,90.51,91.05,91.59
Latvia,428,Country/Area,924,62.4,67.58,70.09,70.48,69.98,68.91,69.07,70.41,67.66,68.7,70.75,71.55,74.13,75.05,75.73,76.43,77.12,77.82,78.52,79.23,79.95,80.65,81.33,81.97,82.57,83.15,83.71,84.25,84.77,85.28
Lithuania,440,Country/Area,924,60.83,66.87,69.88,71.29,71.19,70.67,70.53,71.57,69.73,70.27,71.64,71.87,73.99,75.65,76.41,77.21,78,78.77,79.54,80.29,80.99,81.63,82.24,82.82,83.39,83.94,84.48,85,85.52,86.03
Norway,578,Country/Area,924,72.8,73.48,73.47,73.91,74.43,75.3,76.01,76.28,77.29,78.29,79.33,80.6,81.61,82.18,82.94,83.67,84.32,84.92,85.48,86.05,86.6,87.15,87.69,88.22,88.77,89.31,89.85,90.37,90.9,91.44
Sweden,752,Country/Area,924,71.86,72.89,73.5,74.12,74.79,75.34,76.4,77.16,78.17,79.3,80.13,81.06,81.92,82.57,83.33,84.05,84.68,85.28,85.84,86.41,86.96,87.51,88.06,88.61,89.16,89.69,90.23,90.78,91.31,91.84
United Kingdom,826,Country/Area,924,69.41,70.61,71.04,71.71,72.21,73.01,74.19,75.14,76.24,77.17,78.41,79.69,80.87,81.15,81.77,82.51,83.34,84.05,84.68,85.26,85.81,86.35,86.87,87.41,87.94,88.46,88.98,89.51,90.03,90.55
Southern Europe,925,Subregion,917,63.75,66.26,68.24,69.79,71.31,72.74,74.08,75.31,76.22,77.48,78.75,80.03,81.16,82.07,82.8,83.49,84.15,84.79,85.42,86.04,86.63,87.2,87.76,88.31,88.86,89.42,90,90.58,91.15,91.72
Albania,8,Country/Area,925,55.26,59.31,64.85,66.24,67.69,69.7,70.61,71.98,71.69,73.03,74.82,75.64,77.49,78.38,78.96,79.68,80.51,81.2,81.89,82.59,83.27,83.91,84.51,85.08,85.61,86.11,86.63,87.14,87.66,88.18
Bosnia and Herzegovina,70,Country/Area,925,53.67,58.46,61.93,64.73,67.56,69.88,70.73,71.96,70.13,73.6,74.81,75.53,76.52,77.18,77.93,78.68,79.43,80.17,80.91,81.65,82.38,83.09,83.76,84.38,84.96,85.52,86.04,86.56,87.08,87.59
Croatia,191,Country/Area,925,61.27,63.64,65.73,67.48,69.06,69.92,70.6,71.89,72.81,74.57,74.94,76.1,77.45,78.25,79.02,79.81,80.6,81.39,82.15,82.89,83.56,84.18,84.78,85.36,85.92,86.46,87,87.53,88.08,88.61
Greece,300,Country/Area,925,65.75,67.17,69.25,70.13,71.83,72.85,74.52,75.66,77.38,78.08,79.12,80.01,81.08,81.98,82.8,83.56,84.2,84.82,85.39,85.97,86.53,87.1,87.66,88.22,88.78,89.33,89.89,90.46,91.01,91.56
Italy,380,Country/Area,925,66.52,68.44,69.69,70.94,72.22,73.55,74.88,76.38,77.47,78.8,80.29,81.51,82.36,83.28,84.01,84.65,85.26,85.87,86.45,87.03,87.59,88.18,88.72,89.29,89.84,90.39,90.93,91.5,92.05,92.6
Malta,470,Country/Area,925,65.82,68.77,69.8,70.78,71.91,72.73,73.7,76.03,77.6,78.6,79.47,80.29,81.45,82.29,83.06,83.81,84.47,85.09,85.67,86.24,86.81,87.36,87.92,88.48,89.03,89.58,90.13,90.67,91.23,91.77
Montenegro,499,Country/Area,925,59.77,62.11,65.6,68.35,71.27,72.53,73.63,74.23,74.73,73.39,73.39,74.19,76.08,76.65,77.39,78.12,78.83,79.54,80.25,80.92,81.61,82.27,82.93,83.55,84.12,84.67,85.18,85.69,86.17,86.63
North Macedonia,807,Country/Area,925,54.9,58.96,62.12,65.02,67.31,68.45,68.91,70.67,71.54,72.65,73.78,74.17,75.16,75.6,76.26,76.93,77.59,78.26,78.94,79.61,80.29,80.97,81.65,82.34,82.99,83.64,84.23,84.79,85.32,85.83
Portugal,620,Country/Area,925,60.32,62.36,64.45,66.36,68.33,70.41,72.53,74.04,74.9,76,77.59,79.28,80.62,81.75,82.65,83.41,84.07,84.7,85.33,85.92,86.51,87.08,87.65,88.21,88.77,89.33,89.89,90.45,91,91.57
Serbia,688,Country/Area,925,59.12,61.6,64.26,66.72,68.53,69.54,70.2,71.14,71.74,71.91,72.31,73.44,74.75,75.77,76.47,77.16,77.86,78.54,79.23,79.93,80.63,81.32,82.02,82.71,83.36,83.98,84.57,85.12,85.65,86.17
Slovenia,705,Country/Area,925,65.61,67.89,69.15,69.19,69.82,70.98,71.23,72.68,73.74,75.26,76.65,78.55,80.14,81.08,81.85,82.63,83.34,83.98,84.59,85.17,85.75,86.32,86.88,87.44,88.01,88.56,89.12,89.68,90.23,90.78
Spain,724,Country/Area,925,64.59,67.74,69.91,71.38,72.66,74.41,76.11,76.86,77.63,78.78,79.91,81.22,82.51,83.36,83.99,84.63,85.24,85.83,86.42,87,87.57,88.14,88.7,89.26,89.81,90.37,90.92,91.47,92.02,92.58
Western Europe,926,Subregion,917,67.81,69.4,70.51,71.15,71.85,73.03,74.24,75.55,76.58,77.78,78.99,80.23,81.09,81.72,82.46,83.21,83.93,84.57,85.16,85.75,86.33,86.9,87.45,88.01,88.56,89.12,89.68,90.24,90.79,91.35
Austria,40,Country/Area,926,66.54,68.02,69.66,70.14,70.8,72.14,73.28,75,76.15,77.53,78.92,80.13,80.99,81.35,82.05,82.85,83.67,84.32,84.92,85.52,86.08,86.65,87.2,87.76,88.3,88.85,89.4,89.95,90.49,91.03
Belgium,56,Country/Area,926,67.81,69.46,70.3,70.71,71.5,72.66,73.91,75.27,76.4,77.39,78.38,79.57,80.52,81.39,82.17,82.95,83.69,84.32,84.95,85.54,86.1,86.67,87.22,87.77,88.31,88.86,89.41,89.95,90.5,91.04
France,250,Country/Area,926,67.27,69.39,70.75,71.46,72.43,73.66,74.77,76.13,77.35,78.45,79.6,80.95,81.94,82.46,83.13,83.77,84.46,85.07,85.64,86.23,86.81,87.37,87.93,88.5,89.04,89.6,90.16,90.7,91.26,91.8
Germany,276,Country/Area,926,67.52,68.91,69.98,70.67,71.15,72.3,73.65,74.99,75.98,77.31,78.62,79.73,80.45,81.1,81.88,82.67,83.4,84.06,84.68,85.26,85.85,86.4,86.96,87.51,88.06,88.62,89.18,89.72,90.27,90.83
Luxembourg,442,Country/Area,926,65.98,67.54,69.12,69.78,70.25,71.44,72.88,74.5,75.77,76.99,78.32,79.51,81.15,82,82.79,83.55,84.22,84.85,85.45,86.03,86.62,87.19,87.76,88.33,88.9,89.46,90.01,90.58,91.12,91.67
Netherlands,528,Country/Area,926,71.93,72.94,73.46,73.64,74.11,75.17,76.14,76.72,77.26,77.84,78.67,80.18,81.31,82.06,82.78,83.51,84.2,84.81,85.39,85.95,86.48,87.03,87.57,88.1,88.63,89.17,89.69,90.23,90.76,91.28
Switzerland,756,Country/Area,926,69.34,70.71,71.59,72.58,73.71,75.19,76.09,77.23,77.93,79.23,80.49,81.78,82.69,83.56,84.25,84.86,85.46,86.04,86.62,87.19,87.76,88.33,88.89,89.45,90.01,90.56,91.11,91.66,92.21,92.76
NORTHERN AMERICA,918,SDG subregion,1829,68.71,69.7,70.2,70.51,71.56,73.35,74.51,75.07,75.85,76.68,77.42,78.44,79.23,79.15,79.5,80.23,81.32,82.04,82.75,83.44,84.08,84.68,85.25,85.81,86.34,86.86,87.37,87.89,88.41,88.92
Canada,124,Country/Area,918,69.05,70.32,71.35,72.15,73.01,74.31,75.86,76.83,77.75,78.58,79.69,80.76,81.79,82.22,82.96,83.72,84.42,85.04,85.63,86.2,86.75,87.3,87.84,88.39,88.92,89.46,90,90.53,91.06,91.6
United States of America,840,Country/Area,918,68.71,69.66,70.11,70.36,71.43,73.25,74.37,74.89,75.65,76.47,77.18,78.19,78.94,78.81,79.11,79.83,80.96,81.7,82.41,83.11,83.76,84.37,84.94,85.5,86.03,86.54,87.05,87.56,88.07,88.58
